rowid,ordid,orddt,shpdt,segmt,state,cono,prodid,categ,subct,prdna,sales,order_month,order_day,order_year,order_dayofweek,shipping_delay
1.0,CA-2023-157686,2023-10-01,2023-10-15,Consumer,Pucusana,Sur,FUR-CH-10001146,Almacenamiento,Pendrives / USB,Kingston DataTraveler Exodia 128GB USB 3.2,208.69,10,1,2023,6,14
2.0,CA-2023-155992,2023-10-01,2023-10-15,Consumer,Lurigancho-Chosica,Este,FUR-FU-10003724,Almacenamiento,Tarjetas de memoria,PNY Turbo Attaché 4 128GB USB 3.0,129.49,10,1,2023,6,14
3.0,CA-2023-139157,2023-10-01,2023-10-15,Consumer,Surco,Centro,FUR-TA-10003238,Almacenamiento,Discos externos,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",371.47,10,1,2023,6,14
4.0,CA-2023-111794,2023-10-01,2023-10-15,Consumer,Pueblo Libre,Centro,TEC-AC-10003832,Periféricos,Auriculares / Headsets,Brother HL-L2350DW Impresora Láser,228.38,10,1,2023,6,14
5.0,CA-2023-111794,2023-10-01,2023-10-15,Consumer,San Juan de Miraflores,Sur,OFF-PA-10000474,Periféricos,Webcams,Logitech M185 Ratón Inalámbrico Compacto,118.74,10,1,2023,6,14
6.0,CA-2023-134376,2023-10-02,2023-10-16,Corporate,San Juan de Miraflores,Sur,OFF-AP-10004532,Periféricos,Micrófonos,Kensington 6 Outlet Guardian Standard Surge Protector,327.18,10,2,2023,0,14
7.0,CA-2023-108189,2023-10-02,2023-10-16,Corporate,Pucusana,Sur,OFF-FA-10000735,Periféricos,Teclados,Canon imageCLASS MF743Cdw Impresora Láser a color,144.42,10,2,2023,0,14
8.0,CA-2023-108189,2023-10-02,2023-10-16,Corporate,Punta Hermosa,Sur,OFF-SU-10003567,Periféricos,Mouse / Ratones,Sennheiser Momentum True Wireless 3 Alta fidelidad,94.48,10,2,2023,0,14
9.0,CA-2023-108189,2023-10-02,2023-10-16,Corporate,San Juan de Miraflores,Sur,TEC-AC-10003038,Periféricos,Monitores,Microsoft LifeCam HD-3000 720p,124.99,10,2,2023,0,14
10.0,CA-2023-118969,2023-10-02,2023-10-16,Consumer,San Martín de Porres,Norte,OFF-BI-10002429,Componentes,Memoria RAM,AMD Ryzen 9 7950X 16 núcleos 32 hilos,267.41,10,2,2023,0,14
11.0,CA-2023-153976,2023-10-03,2023-10-17,Consumer,San Isidro,Centro,FUR-CH-10002880,Almacenamiento,Tarjetas de memoria,"Global High-Back Leather Tilter, Burgundy",97.41,10,3,2023,1,14
12.0,CA-2023-157882,2023-10-03,2023-10-17,Corporate,Punta Negra,Sur,FUR-TA-10001866,Almacenamiento,Discos externos,Bevis Round Conference Room Tables and Bases,238.0,10,3,2023,1,14
13.0,CA-2023-157882,2023-10-03,2023-10-17,Corporate,Ate,Este,FUR-CH-10002774,Almacenamiento,Pendrives / USB,SanDisk Ultra Flair USB 3.0 64GB,379.02,10,3,2023,1,14
14.0,US-2023-155817,2023-10-03,2023-10-17,Home Office,San Miguel,Centro,OFF-ST-10000532,Componentes,Fuentes de poder,Advantus Rolling Drawer Organizers,196.69,10,3,2023,1,14
15.0,US-2023-155817,2023-10-03,2023-10-17,Home Office,Ate,Este,OFF-AR-10002335,Componentes,Refrigeración,Cooler Master Notepal X3 Base para Laptop con Ventilador de 200mm,117.6,10,3,2023,1,14
16.0,CA-2023-108903,2023-10-03,2023-10-17,Consumer,Santa Anita,Este,OFF-EN-10004030,Componentes,Procesadores (CPU),Kingston A2000 1TB NVMe M.2 SSD,309.9,10,3,2023,1,14
17.0,CA-2023-108903,2023-10-03,2023-10-17,Consumer,San Martín de Porres,Norte,TEC-AC-10003023,Periféricos,Impresoras,Logitech G105 Gaming Keyboard,320.07,10,3,2023,1,14
18.0,CA-2023-153479,2023-10-04,2023-10-18,Consumer,San Isidro,Centro,OFF-BI-10002867,Periféricos,Auriculares / Headsets,Logitech Brio 4K Ultra HD Webcam con HDR,342.53,10,4,2023,2,14
19.0,CA-2023-121601,2023-10-04,2023-10-18,Consumer,Comas,Norte,OFF-EN-10003862,Componentes,Discos duros (HDD),Laser & Ink Jet Business Envelopes,119.51,10,4,2023,2,14
18.0,CA-2023-102085,2023-10-05,2023-10-19,Consumer,Punta Negra,Sur,OFF-LA-10002475,Componentes,Unidades de estado sólido (SSD),AMD Ryzen 5 5600X 6 núcleos 12 hilos,188.75,10,5,2023,3,14
19.0,CA-2023-102085,2023-10-05,2023-10-19,Consumer,Punta Negra,Sur,OFF-LA-10002475,Componentes,Placas base,Intel Core i7-13700F 13ª Gen 16 núcleos,161.98,10,5,2023,3,14
20.0,CA-2023-102085,2023-10-05,2023-10-19,Consumer,Punta Negra,Sur,OFF-LA-10002475,Componentes,Fuentes de poder,AMD Ryzen 5 5600X 6 núcleos 12 hilos,316.88,10,5,2023,3,14
21.0,CA-2023-134677,2023-10-06,2023-10-20,Consumer,Lurigancho-Chosica,Este,TEC-AC-10001445,Periféricos,Monitores,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,186.26,10,6,2023,4,14
22.0,CA-2023-132542,2023-10-06,2023-10-20,Corporate,Los Olivos,Norte,OFF-BI-10004099,Componentes,Procesadores (CPU),AMD Ryzen 5 5600X 6 núcleos 12 hilos,371.27,10,6,2023,4,14
23.0,CA-2023-117429,2023-10-07,2023-10-21,Home Office,Lince,Centro,FUR-FU-10000222,Almacenamiento,Pendrives / USB,Kingston DataTraveler Max 256GB USB-C 3.2 Gen 2,299.5,10,7,2023,5,14
24.0,CA-2023-132801,2023-10-07,2023-10-21,Corporate,La Victoria,Centro,OFF-ST-10001228,Periféricos,Webcams,Brother HL-L2350DW Impresora Láser,266.91,10,7,2023,5,14
25.0,CA-2023-127649,2023-10-07,2023-10-21,Corporate,San Isidro,Centro,TEC-MA-10001972,Periféricos,Micrófonos,Microsoft LifeCam HD-3000 720p,274.97,10,7,2023,5,14
26.0,CA-2023-155033,2023-10-07,2023-10-21,Consumer,Magdalena del Mar,Centro,OFF-PA-10000143,Componentes,Unidades de estado sólido (SSD),ASUS TUF Gaming B650-PLUS WiFi (Socket AM5),114.31,10,7,2023,5,14
27.0,US-2023-126844,2023-10-08,2023-10-22,Corporate,Barranco,Sur,FUR-FU-10004909,Almacenamiento,Tarjetas de memoria,Kingston DataTraveler Exodia 128GB USB 3.2,138.67,10,8,2023,6,14
26.0,CA-2023-149685,2023-10-09,2023-10-23,Home Office,Breña,Centro,OFF-LA-10004545,Componentes,Fuentes de poder,Thermaltake UX200 ARGB Lighting Air Cooler,371.0,10,9,2023,0,14
27.0,CA-2023-149685,2023-10-09,2023-10-23,Home Office,Breña,Centro,OFF-LA-10004545,Componentes,Refrigeración,KLIM Wind Base de Refrigeración para Laptop con 5 Ventiladores,269.68,10,9,2023,0,14
28.0,CA-2023-149685,2023-10-09,2023-10-23,Home Office,Breña,Centro,OFF-LA-10004545,Componentes,Procesadores (CPU),Cooler Master Notepal X3 Base para Laptop con Ventilador de 200mm,166.02,10,9,2023,0,14
29.0,CA-2023-140403,2023-10-10,2023-10-24,Home Office,Cieneguilla,Este,FUR-CH-10002774,Almacenamiento,Discos externos,Kingston DataTraveler Max 256GB USB-C 3.2 Gen 2,170.07,10,10,2023,1,14
30.0,CA-2023-140403,2023-10-10,2023-10-24,Home Office,Punta Negra,Sur,OFF-EN-10001219,Componentes,Memoria RAM,Western Digital WD Blue SN570 500GB NVMe SSD,257.63,10,10,2023,1,14
31.0,US-2023-126571,2023-10-11,2023-10-25,Consumer,Cieneguilla,Este,OFF-ST-10003816,Periféricos,Teclados,Genius WideCam F100 Ultra Wide Angle 1080p,345.33,10,11,2023,2,14
32.0,CA-2023-116834,2023-10-11,2023-10-25,Home Office,La Victoria,Centro,FUR-FU-10001196,Almacenamiento,Discos externos,DAX Cubicle Frames - 8x10,250.12,10,11,2023,2,14
33.0,CA-2023-116834,2023-10-11,2023-10-25,Home Office,San Juan de Lurigancho,Este,TEC-AC-10002942,Periféricos,Monitores,WD My Passport Ultra 1TB Portable External Hard Drive,258.68,10,11,2023,2,14
34.0,CA-2023-157924,2023-10-11,2023-10-25,Consumer,Breña,Centro,OFF-ST-10002352,Componentes,Fuentes de poder,ASRock Z790 Steel Legend WiFi (Socket LGA1700),339.87,10,11,2023,2,14
35.0,CA-2023-157924,2023-10-11,2023-10-25,Consumer,Cieneguilla,Este,FUR-CH-10000229,Almacenamiento,Discos externos,Corsair Flash Voyager GTX 256GB USB 3.1,306.06,10,11,2023,2,14
36.0,CA-2023-139451,2023-10-12,2023-10-26,Consumer,Barranco,Sur,OFF-AR-10002053,Periféricos,Webcams,Samsung Galaxy Buds Pro 2 Conectividad inalámbrica,234.6,10,12,2023,3,14
37.0,CA-2023-139451,2023-10-12,2023-10-26,Consumer,Independencia,Norte,OFF-ST-10002370,Periféricos,Micrófonos,Genius WideCam F100 Ultra Wide Angle 1080p,319.86,10,12,2023,3,14
38.0,CA-2023-145583,2023-10-13,2023-10-27,Consumer,Rímac,Centro,OFF-PA-10001804,Periféricos,Teclados,SteelSeries Rival 5 Ratón RGB para Juegos,360.67,10,13,2023,4,14
39.0,CA-2023-145583,2023-10-13,2023-10-27,Consumer,El Agustino,Este,OFF-AR-10001149,Periféricos,Mouse / Ratones,Brother HL-L2350DW Impresora Láser,199.17,10,13,2023,4,14
40.0,CA-2023-145583,2023-10-13,2023-10-27,Consumer,Comas,Norte,OFF-FA-10002988,Periféricos,Monitores,Samsung Galaxy Buds Pro 2 Conectividad inalámbrica,250.89,10,13,2023,4,14
41.0,CA-2023-145583,2023-10-13,2023-10-27,Consumer,Carabayllo,Norte,OFF-BI-10004781,Periféricos,Impresoras,AverMedia PW513 4K UHD Webcam,95.71,10,13,2023,4,14
42.0,CA-2023-145583,2023-10-13,2023-10-27,Consumer,Comas,Norte,FUR-FU-10001706,Almacenamiento,Pendrives / USB,SanDisk Extreme Portable SSD 1TB Externo,218.11,10,13,2023,4,14
43.0,CA-2023-151995,2023-10-13,2023-10-27,Consumer,Pucusana,Sur,FUR-TA-10002903,Almacenamiento,Tarjetas de memoria,"Bevis Round Bullnose 29"" High Table Top",103.22,10,13,2023,4,14
44.0,CA-2023-151995,2023-10-13,2023-10-27,Consumer,Lurigancho-Chosica,Este,OFF-AP-10000240,Periféricos,Micrófonos,Logitech MX Master 3S Ratón Inalámbrico Ergonómico,275.37,10,13,2023,4,14
45.0,CA-2023-151995,2023-10-13,2023-10-27,Consumer,San Juan de Miraflores,Sur,TEC-AC-10001101,Periféricos,Teclados,Sony 16GB Class 10 Micro SDHC R40 Memory Card,321.75,10,13,2023,4,14
46.0,US-2023-100839,2023-10-13,2023-10-27,Corporate,Independencia,Norte,FUR-TA-10004575,Almacenamiento,Tarjetas de memoria,PNY Turbo Attaché 4 128GB USB 3.0,282.74,10,13,2023,4,14
47.0,CA-2023-154018,2023-10-13,2023-10-27,Consumer,Punta Negra,Sur,TEC-AC-10002402,Periféricos,Monitores,Razer Kraken PRO Over Ear PC and Music Headset,152.85,10,13,2023,4,14
48.0,CA-2023-154018,2023-10-13,2023-10-27,Consumer,Lurín,Sur,OFF-PA-10000551,Periféricos,Impresoras,Logitech StreamCam Full HD 1080p 60fps,149.34,10,13,2023,4,14
